,sna,tot,sbi,sarea,mday,ar,bemp,act
319,YouBike2.0_文林路101巷口,7,4,士林區,2023-06-03 16:21:19,文林路100號前,3,1
320,YouBike2.0_延平北路五段257巷15弄口,13,0,士林區,2023-06-03 16:40:10,葫蘆街184號對側,12,1
321,YouBike2.0_延平北路五段257巷4弄口,15,0,士林區,2023-06-03 17:05:04,延平北路五段257巷17號前,15,1
323,YouBike2.0_中山福國路口,14,0,士林區,2023-05-29 11:56:14,中山北路五段837號前,14,0
324,YouBike2.0_德行公園,14,4,士林區,2023-06-03 17:05:15,德行西路33號對側,10,1
329,YouBike2.0_銘傳大學(中山北路五段280巷口),23,5,士林區,2023-06-03 16:46:15,中山北路五段280巷口,18,1
330,YouBike2.0_海光公園南側,12,3,士林區,2023-06-03 17:06:15,葫蘆街79號對側公園,9,1
331,YouBike2.0_士商路40巷口,15,5,士林區,2023-06-03 17:09:14,士商路40巷2號旁,10,1
335,YouBike2.0_臺北市立大學(忠誠路二段207巷),17,1,士林區,2023-06-03 17:11:14,忠誠路二段207巷/士東路299巷口,16,1
336,YouBike2.0_天母東路8巷/忠誠路二段154巷口,14,3,士林區,2023-06-03 17:05:15,天母東路8巷57號對側,9,1
342,YouBike2.0_捷運萬隆站(2號出口),12,1,文山區,2023-06-03 17:12:15,興隆路一段70巷/羅斯福路5段211巷26弄口,11,1
350,YouBike2.0_景美運動公園,11,5,文山區,2023-06-03 17:01:06,景豐街79號(旁公園),6,1
351,YouBike2.0_景美醫院,18,2,文山區,2023-06-03 17:09:14,羅斯福路六段280號(前),16,1
352,YouBike2.0_師範大學公館校區,14,3,文山區,2023-06-03 17:12:15,汀州路四段77號(旁),11,1
354,YouBike2.0_仙跡岩登山口(景興路),22,1,文山區,2023-06-03 17:07:16,景興街239號(前),21,1
355,YouBike2.0_國立政治大學,35,0,文山區,2023-06-03 16:55:11,指南路二段153號(對面),35,1
356,YouBike2.0_捷運動物園站,18,3,文山區,2023-06-03 17:05:15,新光路二段30號(對面),15,1
360,YouBike2.0_捷運辛亥站,29,5,文山區,2023-06-03 17:13:15,辛亥路四段114號(旁人行道),24,1
361,YouBike2.0_興豐公園,21,0,文山區,2023-06-03 17:09:04,興隆路二段123巷/興隆路二段(西北側),21,1
364,YouBike2.0_和興路26巷口,15,0,文山區,2023-06-03 17:13:15,和興路44巷 / 和興路26巷口,15,1
368,YouBike2.0_永安藝文館-表演36房,15,4,文山區,2023-06-03 17:05:15,木新路二段156號前人行道(永安市場),11,1
